ID	YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
62575cc9-df49-4dd5-9564-469fa3a38b59	ji	Katakana.	ジ			
bb940f01-ad18-49e9-b204-37a35bfa29b0	zu	Katakana.	ズ			
997545e6-0699-4ab8-ad33-482c313029c8	ze	Katakana.	ゼ			
7b2e5cce-da51-462b-86fe-7fa448fb7c8e	zo	Katakana.	ゾ			
3a10576d-8fa2-490a-9ae3-a0f1ec7721ab	da	Katakana.	ダ			
f079ca04-3061-4645-87df-5fa689e06431	ji	Katakana.	ヂ			
86e4ff5d-fe03-4fce-b9ad-a8ee8fee89f2	zu	Katakana.	ヅ			
c1b15c39-32d1-4c87-b76d-e7f57e1b37d0	de	Katakana.	デ			
9a096818-c9e6-4083-b8f1-69637bf3f0f4	do	Katakana.	ド			
743924b0-2b54-4aeb-bfdd-17b7b1c5c2e7	ba	Katakana.	バ			
ba7ac63d-4794-49dd-b123-a512dafc8b53	bi	Katakana.	ビ			
0069981d-9b01-42ac-b372-54af1aed6cf7	bu	Katakana.	ブ			
6227eba0-956e-485d-b2a0-c4ce65a13ab8	be	Katakana.	ベ			
e3ae9406-ee27-48ef-b651-d54ecab7b6a1	bo	Katakana.	ボ			
dff6d37d-cc25-4831-800d-0427e22cb42e	pa	Katakana.	パ			
fc130314-a375-401f-9424-9d4bc03574ee	pi	Katakana.	ピ			
95aaee57-0ad4-4e5c-a610-646526ce5d02	pu	Katakana.	プ			
7141d48b-9941-4273-b3d0-e8c30f292fdb	pe	Katakana.	ペ			
c8e4934a-1892-45ef-ad4f-b9b3a624875e	po	Katakana.	ポ			
e0e16314-53e8-4421-9557-196674ee3cfe	kya	Katakana.	キャ			
c695efd5-e996-41a7-b0ae-ba6002c914ca	kyu	Katakana.	キュ			
bb79412f-9d9a-4f99-884a-47038cc26dac	kyo	Katakana.	キョ			
d148bbec-fbba-4ca3-8937-074869b13016	sha	Katakana.	シャ			
52b2afeb-3bc2-4e84-b430-2a1420f121b1	shu	Katakana.	シュ			
d65b4662-aee9-4ba1-ba80-cad1cf1a8609	she	Katakana.	シェ			
f8162b2f-0887-4ccb-9e9e-666e37739035	sho	Katakana.	ショ			
c2c7e279-ef44-480d-bb82-071e11f570f5	cha	Katakana.	チャ			
73a58dbf-04e6-4906-862e-d0924a58ed8b	chu	Katakana.	チュ			
efdacb31-0d73-4ceb-b86a-30d06dc14214	che	Katakana.	チェ			
73eea7d9-c844-43c2-838e-9557cf4d57c4	cho	Katakana.	チョ			
edb984e1-dcfc-418e-8299-062729f60699	nya	Katakana.	ニャ			
0665fced-c05e-41b5-8de0-05925e9fcdf5	nyu	Katakana.	ニュ			
0abbd7de-a1ca-4d2b-93b3-5aa1b8aa5660	nyo	Katakana.	ニョ			
49d787d1-83de-4d97-9264-635f1968d0aa	hya	Katakana.	ヒャ			
34ebabec-aa0a-4569-84ae-3b695630706e	hyu	Katakana.	ヒュ			
ccf7cf1d-7028-4bff-84c5-561943ab41ed	hyo	Katakana.	ヒョ			
cdc357e0-33df-4c7a-830e-e7c54f74b1b1	mya	Katakana.	ミャ			
381c352c-2513-4f54-aa30-99baa3a592ae	myu	Katakana.	ミュ			
49eb62af-30d2-41ea-87f4-b240c6da17b3	myo	Katakana.	ミョ			
2bc73165-509f-4fce-a33b-7f1898b17df2	rya	Katakana.	リャ			
a3ce87db-6c2d-4bc0-8b0a-4572b91d0b6d	ryu	Katakana.	リュ			
710a61cb-281e-4cac-859d-979579d4b016	ryo	Katakana.	リョ			
2f2a9493-7dd6-42d4-99b0-0f99985b811f	gya	Katakana.	ギャ			
c663d380-1812-4540-b650-b9e49b1f13e1	gyu	Katakana.	ギュ			
2d9591a5-9db0-40d7-af3d-ffa26974fa5a	gyo	Katakana.	ギョ			
b263e70a-eb29-4ba3-9210-7ccb84f4b464	ja	Katakana.	ジャ			
67843659-7ac7-43b1-b060-2f64f921089e	ju	Katakana.	ジュ			
779f63c2-bc28-47f2-a937-c0380587cd9b	je	Katakana.	ジェ			
a2dfef9b-34d4-4faa-a67c-f2c8d4b019f6	jo	Katakana.	ジョ			
46969767-b82f-403a-83cf-5b954fb2b6f8	bya	Katakana.	ビャ			
f87c8c26-f86d-4afb-9984-b816c2fa1fc9	byu	Katakana.	ビュ			
978224e8-547c-4ba6-bc15-5a74909b7478	byo	Katakana.	ビョ			
62b4fcd1-e233-40a9-8f54-c7635bdb851f	pya	Katakana.	ピャ			
30313d2c-df6d-40aa-9b3d-099d980a9d49	pyu	Katakana.	ピュ			
21af2a7f-dac9-4144-8930-c357f1876592	pyo	Katakana.	ピョ			
